wifi1-dt,wifi1-val,co21-dt,co21-val,elec1-dt,elec1-val,truth-dt,truth-val
2/1/2019 14:01,24,2/1/2019 14:01,656,2/1/2019 14:01,18113.81,2019-02-01 14:01:00,0
2/1/2019 14:11,25,2/1/2019 14:11,661,2/1/2019 14:11,16186.66,2019-02-01 14:11:00,0
2/1/2019 14:21,27,2/1/2019 14:21,681,2/1/2019 14:21,17416.87,2019-02-01 14:21:00,0
2/1/2019 14:31,29,2/1/2019 14:31,697,2/1/2019 14:31,17066.6,2019-02-01 14:31:00,0
2/1/2019 14:41,28,2/1/2019 14:41,674,2/1/2019 14:41,15570.9,2019-02-01 14:41:00,0
2/1/2019 14:51,26,2/1/2019 14:51,670,2/1/2019 14:51,15507.0,2019-02-01 14:51:00,0
2/1/2019 15:01,26,2/1/2019 15:01,668,2/1/2019 15:01,18904.5,2019-02-01 15:01:00,0
2/1/2019 15:11,26,2/1/2019 15:11,641,2/1/2019 15:11,13992.3,2019-02-01 15:11:00,0
2/1/2019 15:21,23,2/1/2019 15:21,634,2/1/2019 15:21,13838.21,2019-02-01 15:21:00,0
2/1/2019 15:31,23,2/1/2019 15:31,631,2/1/2019 15:31,12495.5,2019-02-01 15:31:00,0
2/1/2019 15:41,25,2/1/2019 15:41,589,2/1/2019 15:41,13415.89,2019-02-01 15:41:00,0
2/1/2019 15:51,24,2/1/2019 15:51,615,2/1/2019 15:51,13946.05,2019-02-01 15:51:00,0
2/1/2019 16:01,22,2/1/2019 16:01,634,2/1/2019 16:01,15338.56,2019-02-01 16:01:00,0
2/1/2019 16:11,19,2/1/2019 16:11,664,2/1/2019 16:11,17059.56,2019-02-01 16:11:00,0
2/1/2019 16:21,19,2/1/2019 16:21,622,2/1/2019 16:21,14635.7,2019-02-01 16:21:00,0
2/1/2019 16:31,18,2/1/2019 16:31,616,2/1/2019 16:31,13421.7,2019-02-01 16:31:00,0
2/1/2019 16:41,20,2/1/2019 16:41,614,2/1/2019 16:41,12373.2,2019-02-01 16:41:00,0
2/1/2019 16:51,16,2/1/2019 16:51,589,2/1/2019 16:51,12138.3,2019-02-01 16:51:00,0
2/1/2019 17:01,13,2/1/2019 17:01,613,2/1/2019 17:01,9804.9,2019-02-01 17:01:00,1
2/1/2019 17:11,13,2/1/2019 17:11,581,2/1/2019 17:11,8976.41,2019-02-01 17:11:00,1
2/1/2019 17:21,10,2/1/2019 17:21,565,2/1/2019 17:21,9871.76,2019-02-01 17:21:00,1
2/1/2019 17:31,7,2/1/2019 17:31,568,2/1/2019 17:31,6691.91,2019-02-01 17:31:00,1
2/1/2019 17:41,5,2/1/2019 17:41,572,2/1/2019 17:41,10139.11,2019-02-01 17:41:00,1
2/1/2019 17:51,4,2/1/2019 17:51,578,2/1/2019 17:51,7064.72,2019-02-01 17:51:00,1
2/1/2019 18:01,4,2/1/2019 18:01,644,2/1/2019 18:01,8599.94,2019-02-01 18:01:00,1
2/1/2019 18:11,3,2/1/2019 18:11,561,2/1/2019 18:11,6195.84,2019-02-01 18:11:00,1
2/1/2019 18:21,2,2/1/2019 18:21,563,2/1/2019 18:21,5261.22,2019-02-01 18:21:00,1
2/1/2019 18:31,2,2/1/2019 18:31,556,2/1/2019 18:31,4918.3,2019-02-01 18:31:00,1
2/1/2019 18:41,3,2/1/2019 18:41,560,2/1/2019 18:41,5603.36,2019-02-01 18:41:00,1
2/1/2019 18:51,3,2/1/2019 18:51,552,2/1/2019 18:51,4798.99,2019-02-01 18:51:00,1
2/1/2019 19:01,2,2/1/2019 19:01,547,2/1/2019 19:01,5385.3,2019-02-01 19:01:00,1
2/1/2019 19:11,2,2/1/2019 19:11,543,2/1/2019 19:11,5756.88,2019-02-01 19:11:00,1
2/1/2019 19:21,2,2/1/2019 19:21,544,2/1/2019 19:21,5359.3,2019-02-01 19:21:00,1
2/1/2019 19:31,1,2/1/2019 19:31,544,2/1/2019 19:31,6197.1,2019-02-01 19:31:00,1
2/1/2019 19:41,1,2/1/2019 19:41,525,2/1/2019 19:41,6273.5,2019-02-01 19:41:00,1
2/1/2019 19:51,1,2/1/2019 19:51,544,2/1/2019 19:51,5700.1,2019-02-01 19:51:00,1
2/1/2019 20:01,1,2/1/2019 20:01,549,2/1/2019 20:01,4988.64,2019-02-01 20:01:00,1
2/1/2019 20:11,1,2/1/2019 20:11,546,2/1/2019 20:11,5284.97,2019-02-01 20:11:00,1
2/1/2019 20:21,1,2/1/2019 20:21,546,2/1/2019 20:21,7558.04,2019-02-01 20:21:00,1
2/1/2019 20:31,2,2/1/2019 20:31,535,2/1/2019 20:31,8343.5,2019-02-01 20:31:00,1
2/1/2019 20:41,2,2/1/2019 20:41,537,2/1/2019 20:41,5994.52,2019-02-01 20:41:00,1
2/1/2019 20:51,1,2/1/2019 20:51,551,2/1/2019 20:51,5800.12,2019-02-01 20:51:00,1
2/1/2019 21:01,1,2/1/2019 21:01,565,2/1/2019 21:01,4956.48,2019-02-01 21:01:00,1
2/1/2019 21:11,1,2/1/2019 21:11,559,2/1/2019 21:11,4991.88,2019-02-01 21:11:00,1
2/1/2019 21:21,1,2/1/2019 21:21,553,2/1/2019 21:21,5617.8,2019-02-01 21:21:00,1
2/1/2019 21:31,2,2/1/2019 21:31,549,2/1/2019 21:31,5452.99,2019-02-01 21:31:00,1
2/1/2019 21:41,2,2/1/2019 21:41,534,2/1/2019 21:41,5219.6,2019-02-01 21:41:00,1
2/1/2019 21:51,1,2/1/2019 21:51,525,2/1/2019 21:51,4811.4,2019-02-01 21:51:00,1
2/1/2019 22:01,1,2/1/2019 22:01,511,2/1/2019 22:01,4956.95,2019-02-01 22:01:00,1
2/1/2019 22:11,1,2/1/2019 22:11,509,2/1/2019 22:11,5134.33,2019-02-01 22:11:00,1
2/1/2019 22:21,1,2/1/2019 22:21,503,2/1/2019 22:21,5045.37,2019-02-01 22:21:00,1
2/1/2019 22:31,1,2/1/2019 22:31,493,2/1/2019 22:31,6576.1,2019-02-01 22:31:00,1
2/1/2019 22:41,1,2/1/2019 22:41,502,2/1/2019 22:41,7443.3,2019-02-01 22:41:00,1
2/1/2019 22:51,1,2/1/2019 22:51,497,2/1/2019 22:51,7584.7,2019-02-01 22:51:00,1
2/1/2019 23:01,1,2/1/2019 23:01,497,2/1/2019 23:01,8288.0,2019-02-01 23:01:00,1
2/1/2019 23:11,1,2/1/2019 23:11,500,2/1/2019 23:11,9336.78,2019-02-01 23:11:00,1
2/1/2019 23:21,1,2/1/2019 23:21,505,2/1/2019 23:21,9275.25,2019-02-01 23:21:00,1
2/1/2019 23:31,1,2/1/2019 23:31,484,2/1/2019 23:31,12523.35,2019-02-01 23:31:00,1
2/1/2019 23:41,1,2/1/2019 23:41,491,2/1/2019 23:41,12166.3,2019-02-01 23:41:00,1
2/1/2019 23:51,1,2/1/2019 23:51,479,2/1/2019 23:51,10104.79,2019-02-01 23:51:00,1
2/2/2019 0:01,1,2/2/2019 0:01,457,2/2/2019 0:01,7150.0,2019-02-02 00:01:00,1
2/2/2019 0:11,1,2/2/2019 0:11,481,2/2/2019 0:11,10428.95,2019-02-02 00:11:00,1
2/2/2019 0:21,1,2/2/2019 0:21,476,2/2/2019 0:21,5075.03,2019-02-02 00:21:00,1
2/2/2019 0:31,1,2/2/2019 0:31,469,2/2/2019 0:31,5079.73,2019-02-02 00:31:00,1
2/2/2019 0:41,1,2/2/2019 0:41,467,2/2/2019 0:41,4870.73,2019-02-02 00:41:00,1
2/2/2019 0:51,1,2/2/2019 0:51,460,2/2/2019 0:51,4917.2,2019-02-02 00:51:00,1
2/2/2019 1:01,1,2/2/2019 1:01,465,2/2/2019 1:01,5195.1,2019-02-02 01:01:00,1
2/2/2019 1:11,1,2/2/2019 1:11,465,2/2/2019 1:11,4847.4,2019-02-02 01:11:00,1
2/2/2019 1:21,1,2/2/2019 1:21,451,2/2/2019 1:21,5046.08,2019-02-02 01:21:00,1
2/2/2019 1:31,1,2/2/2019 1:31,456,2/2/2019 1:31,5013.81,2019-02-02 01:31:00,1
2/2/2019 1:41,1,2/2/2019 1:41,454,2/2/2019 1:41,5476.95,2019-02-02 01:41:00,1
2/2/2019 1:51,1,2/2/2019 1:51,453,2/2/2019 1:51,5355.0,2019-02-02 01:51:00,1
2/2/2019 2:01,1,2/2/2019 2:01,456,2/2/2019 2:01,5618.5,2019-02-02 02:01:00,1
2/2/2019 2:11,1,2/2/2019 2:11,451,2/2/2019 2:11,4855.5,2019-02-02 02:11:00,1
2/2/2019 2:21,1,2/2/2019 2:21,454,2/2/2019 2:21,4962.37,2019-02-02 02:21:00,1
2/2/2019 2:31,1,2/2/2019 2:31,452,2/2/2019 2:31,4887.78,2019-02-02 02:31:00,1
2/2/2019 2:41,1,2/2/2019 2:41,453,2/2/2019 2:41,4896.61,2019-02-02 02:41:00,1
2/2/2019 2:51,1,2/2/2019 2:51,446,2/2/2019 2:51,5099.9,2019-02-02 02:51:00,1
2/2/2019 3:01,1,2/2/2019 3:01,443,2/2/2019 3:01,5021.7,2019-02-02 03:01:00,1
2/2/2019 3:11,1,2/2/2019 3:11,451,2/2/2019 3:11,5038.36,2019-02-02 03:11:00,1
2/2/2019 3:21,1,2/2/2019 3:21,442,2/2/2019 3:21,5028.0,2019-02-02 03:21:00,1
2/2/2019 3:31,1,2/2/2019 3:31,438,2/2/2019 3:31,4647.53,2019-02-02 03:31:00,1
2/2/2019 3:41,1,2/2/2019 3:41,445,2/2/2019 3:41,4912.0,2019-02-02 03:41:00,1
2/2/2019 3:51,1,2/2/2019 3:51,443,2/2/2019 3:51,5276.6,2019-02-02 03:51:00,1
2/2/2019 4:01,1,2/2/2019 4:01,435,2/2/2019 4:01,5425.1,2019-02-02 04:01:00,1
2/2/2019 4:11,1,2/2/2019 4:11,433,2/2/2019 4:11,5407.93,2019-02-02 04:11:00,1
2/2/2019 4:21,1,2/2/2019 4:21,448,2/2/2019 4:21,5189.44,2019-02-02 04:21:00,1
2/2/2019 4:31,1,2/2/2019 4:31,443,2/2/2019 4:31,5123.68,2019-02-02 04:31:00,1
2/2/2019 4:41,1,2/2/2019 4:41,436,2/2/2019 4:41,4664.5,2019-02-02 04:41:00,1
2/2/2019 4:51,1,2/2/2019 4:51,436,2/2/2019 4:51,4927.3,2019-02-02 04:51:00,1
2/2/2019 5:01,1,2/2/2019 5:01,440,2/2/2019 5:01,5072.67,2019-02-02 05:01:00,1
2/2/2019 5:11,1,2/2/2019 5:11,445,2/2/2019 5:11,5016.4,2019-02-02 05:11:00,1
2/2/2019 5:21,1,2/2/2019 5:21,442,2/2/2019 5:21,4914.87,2019-02-02 05:21:00,1
