timestamp,wifi1-val,elec1-val,co21-val,truth-val
7/2/2019 19:50,1,8218.79,165,1
7/2/2019 19:55,1,8871.33,158,1
7/2/2019 20:00,1,7314.27,156,1
7/2/2019 20:05,1,7762,156,1
7/2/2019 20:10,1,8183.86,154,1
7/2/2019 20:15,1,7872.46,151,1
7/2/2019 20:20,1,7636.3,151,1
7/2/2019 20:25,1,8679.79,142,1
7/2/2019 20:30,1,11938.53,144,1
7/2/2019 20:35,0,11375.79,137,1
7/2/2019 20:40,0,8333.8,135,1
7/2/2019 20:45,0,9022.2,134,1
7/2/2019 20:50,0,8814.18,138,1
7/2/2019 20:55,0,8180.26,131,1
7/2/2019 21:00,0,8057.69,127,1
7/2/2019 21:05,0,9570.02,126,1
7/2/2019 21:10,0,9950.6,122,1
7/2/2019 21:15,0,8018.9,121,1
7/2/2019 21:20,0,8615.7,123,1
7/2/2019 21:25,0,8701.5,116,1
7/2/2019 21:30,0,8099.3,112,1
7/2/2019 21:35,0,7885.5,113,1
7/2/2019 21:40,0,8080.1,111,1
7/2/2019 21:45,0,8088.8,111,1
7/2/2019 21:50,0,7995.54,110,1
7/2/2019 21:55,0,11113.08,110,1
7/2/2019 22:00,0,13712.86,106,0
7/2/2019 22:05,0,13760.33,112,0
7/2/2019 22:10,0,13923.98,105,0
7/2/2019 22:15,0,15956.8,99,0
7/2/2019 22:20,0,16091.5,106,0
7/2/2019 22:25,0,12844.2,119,0
7/2/2019 22:30,0,14998.8,109,0
7/2/2019 22:35,0,15147.2,107,0
7/2/2019 22:40,0,15032.9,106,0
7/2/2019 22:45,0,15904.75,101,0
7/2/2019 22:50,0,16670.1,103,0
7/2/2019 22:55,0,18662.5,97,0
7/2/2019 23:00,0,18180.71,96,0
7/2/2019 23:05,1,16560.2,95,0
7/2/2019 23:10,1,17647.05,97,0
7/2/2019 23:15,1,17426.95,102,0
7/2/2019 23:20,1,14764.7,159,0
7/2/2019 23:25,1,17155.96,134,0
7/2/2019 23:30,1,17346.22,99,0
7/2/2019 23:35,1,15521.1,90,0
7/2/2019 23:40,1,16564.54,84,0
7/2/2019 23:45,1,13532.89,87,0
7/2/2019 23:50,1,11761.06,84,0
7/2/2019 23:55,1,8277.38,79,1
7/3/2019 00:00,1,8321.21,75,1
7/3/2019 00:05,1,8663.41,76,1
7/3/2019 00:10,1,9384.96,73,1
7/3/2019 00:15,1,10297.8,74,1
7/3/2019 00:20,1,10071.67,77,1
7/3/2019 00:25,1,8970.87,73,1
7/3/2019 00:30,1,8584.06,76,1
7/3/2019 00:35,1,9321.85,74,1
7/3/2019 00:40,1,7214.2,75,1
7/3/2019 00:45,1,14175.2,67,1
7/3/2019 00:50,1,9975.9,66,1
7/3/2019 00:55,1,6884.3,68,1
7/3/2019 01:00,1,8008.1,70,1
7/3/2019 01:05,1,8634.85,63,1
7/3/2019 01:10,1,8081,64,1
7/3/2019 01:15,1,7937.7,58,1
7/3/2019 01:20,1,7997.3,60,1
7/3/2019 01:25,1,8038.17,58,1
7/3/2019 01:30,1,8167.2,59,1
7/3/2019 01:35,1,8010.1,57,1
7/3/2019 01:40,1,8484.14,54,1
7/3/2019 01:45,1,8445.52,56,1
7/3/2019 01:50,1,8132.91,50,1
7/3/2019 01:55,1,7974.7,49,1
7/3/2019 02:00,1,8160.1,51,1
7/3/2019 02:05,1,8020.08,46,1
7/3/2019 02:10,1,8132.89,47,1
7/3/2019 02:15,1,8144.5,42,1
7/3/2019 02:20,1,8635.5,44,1
7/3/2019 02:25,1,8594.1,42,1
7/3/2019 02:30,1,8531.3,43,1
7/3/2019 02:35,1,8698.1,39,1
7/3/2019 02:40,1,8811.84,38,1
7/3/2019 02:45,1,8605.53,43,1
7/3/2019 02:50,1,8635.15,37,1
7/3/2019 02:55,1,10205.84,36,1
7/3/2019 03:00,1,10505.86,32,1
7/3/2019 03:05,1,7787.87,40,1
7/3/2019 03:10,1,7822.9,36,1
7/3/2019 03:15,1,7913.5,38,1
7/3/2019 03:20,1,8032.6,33,1
7/3/2019 03:25,1,8164,29,1
7/3/2019 03:30,1,8150.4,27,1
7/3/2019 03:35,1,8038.8,30,1
7/3/2019 03:40,1,8375.7,33,1
7/3/2019 03:45,1,8144.6,26,1
7/3/2019 03:50,1,8092.7,23,1
7/3/2019 03:55,1,8138.59,23,1
7/3/2019 04:00,1,7965.45,21,1
7/3/2019 04:05,1,8009.24,20,1
7/3/2019 04:10,1,8022.57,25,1
7/3/2019 04:15,1,8358.18,22,1
7/3/2019 04:20,1,8506.9,20,1
7/3/2019 04:25,1,8087.8,19,1
7/3/2019 04:30,1,8041.2,24,1
7/3/2019 04:35,1,8180.71,19,1
7/3/2019 04:40,1,8245.4,22,1
7/3/2019 04:45,1,8517.1,14,1
7/3/2019 04:50,1,8390.6,18,1
7/3/2019 04:55,1,8764.22,12,1
7/3/2019 05:00,1,8910.12,10,1
7/3/2019 05:05,1,8902.48,12,1
7/3/2019 05:10,1,8536.53,11,1
7/3/2019 05:15,1,8554.28,8,1
7/3/2019 05:20,1,8378.08,8,1
7/3/2019 05:25,1,8100.49,4,1
7/3/2019 05:30,1,8038.04,8,1
7/3/2019 05:35,1,8388.5,6,1
7/3/2019 05:40,1,10198.1,5,1
7/3/2019 05:45,1,9451.4,6,1
7/3/2019 05:50,1,7703.3,5,1
7/3/2019 05:55,1,7781.7,2,1
7/3/2019 06:00,1,7898.35,2,1
7/3/2019 06:05,1,7848.8,1,1
7/3/2019 06:10,1,7913.2,5,1
7/3/2019 06:15,1,8207.64,1,1
7/3/2019 06:20,1,8593.63,1,1
7/3/2019 06:25,1,7972.5,2,1
7/3/2019 06:30,1,7744.88,5,1
7/3/2019 06:35,1,7717.56,0,1
7/3/2019 06:40,1,7684.81,0,1
7/3/2019 06:45,1,7949.92,0,0
7/3/2019 06:50,1,8554.36,23,0
7/3/2019 06:55,3,8784.67,36,0
7/3/2019 07:00,3,8927.89,54,0
7/3/2019 07:05,4,9786.8,75,0
7/3/2019 07:10,4,9564.8,88,0
7/3/2019 07:15,4,9796.5,95,0
7/3/2019 07:20,4,9772.9,106,0
7/3/2019 07:25,4,8287.8,121,0
7/3/2019 07:30,4,10041.8,121,0
7/3/2019 07:35,4,7783.1,125,0
7/3/2019 07:40,4,16809.65,140,0
7/3/2019 07:45,4,18881,146,0
7/3/2019 07:50,4,18270.34,68,0
7/3/2019 07:55,5,18561.23,105,0
7/3/2019 08:00,5,19891.65,122,0
7/3/2019 08:05,7,19675.13,139,0
