wifi1-dt,wifi1-val,co21-dt,co21-val,elec1-dt,elec1-val
2019-02-01 15:11:00,26.0,2019-02-01 15:11:00,641.0,2019-02-01 15:11:00,13992.3
2019-02-01 15:21:00,23.0,2019-02-01 15:21:00,634.0,2019-02-01 15:21:00,13838.21
2019-02-01 15:31:00,23.0,2019-02-01 15:31:00,631.0,2019-02-01 15:31:00,12495.5
2019-02-01 15:41:00,25.0,2019-02-01 15:41:00,589.0,2019-02-01 15:41:00,13415.89
2019-02-01 15:51:00,24.0,2019-02-01 15:51:00,615.0,2019-02-01 15:51:00,13946.05
2019-02-01 16:01:00,22.0,2019-02-01 16:01:00,634.0,2019-02-01 16:01:00,15338.56
2019-02-01 16:11:00,19.0,2019-02-01 16:11:00,664.0,2019-02-01 16:11:00,17059.56
2019-02-01 16:21:00,19.0,2019-02-01 16:21:00,622.0,2019-02-01 16:21:00,14635.7
2019-02-01 16:31:00,18.0,2019-02-01 16:31:00,616.0,2019-02-01 16:31:00,13421.7
2019-02-01 16:41:00,20.0,2019-02-01 16:41:00,614.0,2019-02-01 16:41:00,12373.2
2019-02-01 16:51:00,16.0,2019-02-01 16:51:00,589.0,2019-02-01 16:51:00,12138.3
2019-02-01 17:01:00,13.0,2019-02-01 17:01:00,613.0,2019-02-01 17:01:00,9804.9
2019-02-01 17:11:00,13.0,2019-02-01 17:11:00,581.0,2019-02-01 17:11:00,8976.41
2019-02-01 17:21:00,10.0,2019-02-01 17:21:00,565.0,2019-02-01 17:21:00,9871.76
2019-02-01 17:31:00,7.0,2019-02-01 17:31:00,568.0,2019-02-01 17:31:00,6691.91
2019-02-01 17:41:00,5.0,2019-02-01 17:41:00,572.0,2019-02-01 17:41:00,10139.11
2019-02-01 17:51:00,4.0,2019-02-01 17:51:00,578.0,2019-02-01 17:51:00,7064.72
2019-02-01 18:01:00,4.0,2019-02-01 18:01:00,644.0,2019-02-01 18:01:00,8599.94
2019-02-01 18:11:00,3.0,2019-02-01 18:11:00,561.0,2019-02-01 18:11:00,6195.84
2019-02-01 18:21:00,2.0,2019-02-01 18:21:00,563.0,2019-02-01 18:21:00,5261.22
2019-02-01 18:31:00,2.0,2019-02-01 18:31:00,556.0,2019-02-01 18:31:00,4918.3
2019-02-01 18:41:00,3.0,2019-02-01 18:41:00,560.0,2019-02-01 18:41:00,5603.36
2019-02-01 18:51:00,3.0,2019-02-01 18:51:00,552.0,2019-02-01 18:51:00,4798.99
2019-02-01 19:01:00,2.0,2019-02-01 19:01:00,547.0,2019-02-01 19:01:00,5385.3
2019-02-01 19:11:00,2.0,2019-02-01 19:11:00,543.0,2019-02-01 19:11:00,5756.88
2019-02-01 19:21:00,2.0,2019-02-01 19:21:00,544.0,2019-02-01 19:21:00,5359.3
2019-02-01 19:31:00,1.0,2019-02-01 19:31:00,544.0,2019-02-01 19:31:00,6197.1
2019-02-01 19:41:00,1.0,2019-02-01 19:41:00,525.0,2019-02-01 19:41:00,6273.5
2019-02-01 19:51:00,1.0,2019-02-01 19:51:00,544.0,2019-02-01 19:51:00,5700.1
2019-02-01 20:01:00,1.0,2019-02-01 20:01:00,549.0,2019-02-01 20:01:00,4988.64
2019-02-01 20:11:00,1.0,2019-02-01 20:11:00,546.0,2019-02-01 20:11:00,5284.97
2019-02-01 20:21:00,1.0,2019-02-01 20:21:00,546.0,2019-02-01 20:21:00,7558.04
2019-02-01 20:31:00,2.0,2019-02-01 20:31:00,535.0,2019-02-01 20:31:00,8343.5
2019-02-01 20:41:00,2.0,2019-02-01 20:41:00,537.0,2019-02-01 20:41:00,5994.52
2019-02-01 20:51:00,1.0,2019-02-01 20:51:00,551.0,2019-02-01 20:51:00,5800.12
2019-02-01 21:01:00,1.0,2019-02-01 21:01:00,565.0,2019-02-01 21:01:00,4956.48
2019-02-01 21:11:00,1.0,2019-02-01 21:11:00,559.0,2019-02-01 21:11:00,4991.88
2019-02-01 21:21:00,1.0,2019-02-01 21:21:00,553.0,2019-02-01 21:21:00,5617.8
2019-02-01 21:31:00,2.0,2019-02-01 21:31:00,549.0,2019-02-01 21:31:00,5452.99
2019-02-01 21:41:00,2.0,2019-02-01 21:41:00,534.0,2019-02-01 21:41:00,5219.6
2019-02-01 21:51:00,1.0,2019-02-01 21:51:00,525.0,2019-02-01 21:51:00,4811.4
2019-02-01 22:01:00,1.0,2019-02-01 22:01:00,511.0,2019-02-01 22:01:00,4956.95
2019-02-01 22:11:00,1.0,2019-02-01 22:11:00,509.0,2019-02-01 22:11:00,5134.33
2019-02-01 22:21:00,1.0,2019-02-01 22:21:00,503.0,2019-02-01 22:21:00,5045.37
2019-02-01 22:31:00,1.0,2019-02-01 22:31:00,493.0,2019-02-01 22:31:00,6576.1
2019-02-01 22:41:00,1.0,2019-02-01 22:41:00,502.0,2019-02-01 22:41:00,7443.3
2019-02-01 22:51:00,1.0,2019-02-01 22:51:00,497.0,2019-02-01 22:51:00,7584.7
2019-02-01 23:01:00,1.0,2019-02-01 23:01:00,497.0,2019-02-01 23:01:00,8288.0
2019-02-01 23:11:00,1.0,2019-02-01 23:11:00,500.0,2019-02-01 23:11:00,9336.78
2019-02-01 23:21:00,1.0,2019-02-01 23:21:00,505.0,2019-02-01 23:21:00,9275.25
2019-02-01 23:31:00,1.0,2019-02-01 23:31:00,484.0,2019-02-01 23:31:00,12523.35
2019-02-01 23:41:00,1.0,2019-02-01 23:41:00,491.0,2019-02-01 23:41:00,12166.3
2019-02-01 23:51:00,1.0,2019-02-01 23:51:00,479.0,2019-02-01 23:51:00,10104.79
2019-02-02 00:01:00,1.0,2019-02-02 00:01:00,457.0,2019-02-02 00:01:00,7150.0
2019-02-02 00:11:00,1.0,2019-02-02 00:11:00,481.0,2019-02-02 00:11:00,10428.95
2019-02-02 00:21:00,1.0,2019-02-02 00:21:00,476.0,2019-02-02 00:21:00,5075.03
2019-02-02 00:31:00,1.0,2019-02-02 00:31:00,469.0,2019-02-02 00:31:00,5079.73
2019-02-02 00:41:00,1.0,2019-02-02 00:41:00,467.0,2019-02-02 00:41:00,4870.73
2019-02-02 00:51:00,1.0,2019-02-02 00:51:00,460.0,2019-02-02 00:51:00,4917.2
2019-02-02 01:01:00,1.0,2019-02-02 01:01:00,465.0,2019-02-02 01:01:00,5195.1
2019-02-02 01:11:00,1.0,2019-02-02 01:11:00,465.0,2019-02-02 01:11:00,4847.4
2019-02-02 01:21:00,1.0,2019-02-02 01:21:00,451.0,2019-02-02 01:21:00,5046.08
2019-02-02 01:31:00,1.0,2019-02-02 01:31:00,456.0,2019-02-02 01:31:00,5013.81
2019-02-02 01:41:00,1.0,2019-02-02 01:41:00,454.0,2019-02-02 01:41:00,5476.95
2019-02-02 01:51:00,1.0,2019-02-02 01:51:00,453.0,2019-02-02 01:51:00,5355.0
2019-02-02 02:01:00,1.0,2019-02-02 02:01:00,456.0,2019-02-02 02:01:00,5618.5
2019-02-02 02:11:00,1.0,2019-02-02 02:11:00,451.0,2019-02-02 02:11:00,4855.5
2019-02-02 02:21:00,1.0,2019-02-02 02:21:00,454.0,2019-02-02 02:21:00,4962.37
2019-02-02 02:31:00,1.0,2019-02-02 02:31:00,452.0,2019-02-02 02:31:00,4887.78
2019-02-02 02:41:00,1.0,2019-02-02 02:41:00,453.0,2019-02-02 02:41:00,4896.61
2019-02-02 02:51:00,1.0,2019-02-02 02:51:00,446.0,2019-02-02 02:51:00,5099.9
2019-02-02 03:01:00,1.0,2019-02-02 03:01:00,443.0,2019-02-02 03:01:00,5021.7
2019-02-02 03:11:00,1.0,2019-02-02 03:11:00,451.0,2019-02-02 03:11:00,5038.36
2019-02-02 03:21:00,1.0,2019-02-02 03:21:00,442.0,2019-02-02 03:21:00,5028.0
2019-02-02 03:31:00,1.0,2019-02-02 03:31:00,438.0,2019-02-02 03:31:00,4647.53
2019-02-02 03:41:00,1.0,2019-02-02 03:41:00,445.0,2019-02-02 03:41:00,4912.0
2019-02-02 03:51:00,1.0,2019-02-02 03:51:00,443.0,2019-02-02 03:51:00,5276.6
2019-02-02 04:01:00,1.0,2019-02-02 04:01:00,435.0,2019-02-02 04:01:00,5425.1
2019-02-02 04:11:00,1.0,2019-02-02 04:11:00,433.0,2019-02-02 04:11:00,5407.93
2019-02-02 04:21:00,1.0,2019-02-02 04:21:00,448.0,2019-02-02 04:21:00,5189.44
2019-02-02 04:31:00,1.0,2019-02-02 04:31:00,443.0,2019-02-02 04:31:00,5123.68
2019-02-02 04:41:00,1.0,2019-02-02 04:41:00,436.0,2019-02-02 04:41:00,4664.5
2019-02-02 04:51:00,1.0,2019-02-02 04:51:00,436.0,2019-02-02 04:51:00,4927.3
2019-02-02 05:01:00,1.0,2019-02-02 05:01:00,440.0,2019-02-02 05:01:00,5072.67
2019-02-02 05:11:00,1.0,2019-02-02 05:11:00,445.0,2019-02-02 05:11:00,5016.4
2019-02-02 05:21:00,1.0,2019-02-02 05:21:00,442.0,2019-02-02 05:21:00,4914.87
2019-02-02 05:31:00,1.0,2019-02-02 05:31:00,449.0,2019-02-02 05:31:00,4974.06
2019-02-02 05:41:00,1.0,2019-02-02 05:41:00,458.0,2019-02-02 05:41:00,5071.65
2019-02-02 05:51:00,1.0,2019-02-02 05:51:00,469.0,2019-02-02 05:51:00,4989.31
2019-02-02 06:01:00,1.0,2019-02-02 06:01:00,527.0,2019-02-02 06:01:00,5017.7
2019-02-02 06:11:00,1.0,2019-02-02 06:11:00,499.0,2019-02-02 06:11:00,5544.5
2019-02-02 06:21:00,0.0,2019-02-02 06:21:00,545.0,2019-02-02 06:21:00,5439.0
2019-02-02 06:31:00,0.0,2019-02-02 06:31:00,523.0,2019-02-02 06:31:00,5396.07
2019-02-02 06:41:00,0.0,2019-02-02 06:41:00,497.0,2019-02-02 06:41:00,5146.0
2019-02-02 06:51:00,0.0,2019-02-02 06:51:00,495.0,2019-02-02 06:51:00,4885.4
2019-02-02 07:01:00,0.0,2019-02-02 07:01:00,467.0,2019-02-02 07:01:00,5746.1
2019-02-02 07:11:00,0.0,2019-02-02 07:11:00,448.0,2019-02-02 07:11:00,5766.9
2019-02-02 07:21:00,0.0,2019-02-02 07:21:00,439.0,2019-02-02 07:21:00,5752.5
2019-02-02 07:31:00,0.0,2019-02-02 07:31:00,427.0,2019-02-02 07:31:00,5494.0
2019-02-02 07:41:00,0.0,2019-02-02 07:41:00,425.0,2019-02-02 07:41:00,6180.92
2019-02-02 07:51:00,0.0,2019-02-02 07:51:00,420.0,2019-02-02 07:51:00,5924.85
2019-02-02 08:01:00,0.0,2019-02-02 08:01:00,426.0,2019-02-02 08:01:00,5871.05
2019-02-02 08:11:00,1.0,2019-02-02 08:11:00,419.0,2019-02-02 08:11:00,5242.8
2019-02-02 08:21:00,1.0,2019-02-02 08:21:00,416.0,2019-02-02 08:21:00,5022.3
2019-02-02 08:41:00,1.0,2019-02-02 08:41:00,408.0,2019-02-02 08:41:00,6235.3
2019-02-02 08:51:00,1.0,2019-02-02 08:51:00,404.0,2019-02-02 08:51:00,4644.43
2019-02-02 09:01:00,1.0,2019-02-02 09:01:00,407.0,2019-02-02 09:01:00,8209.58
2019-02-02 09:11:00,1.0,2019-02-02 09:11:00,405.0,2019-02-02 09:11:00,5050.9
2019-02-02 09:21:00,1.0,2019-02-02 09:21:00,402.0,2019-02-02 09:21:00,5446.6
2019-02-02 09:31:00,1.0,2019-02-02 09:31:00,406.0,2019-02-02 09:31:00,8106.5
2019-02-02 09:41:00,1.0,2019-02-02 09:41:00,402.0,2019-02-02 09:41:00,4666.9
2019-02-02 09:51:00,1.0,2019-02-02 09:51:00,395.0,2019-02-02 09:51:00,5289.38
2019-02-02 10:01:00,1.0,2019-02-02 10:01:00,404.0,2019-02-02 10:01:00,6266.41
2019-02-02 10:11:00,1.0,2019-02-02 10:11:00,401.0,2019-02-02 10:11:00,4827.17
2019-02-02 10:21:00,1.0,2019-02-02 10:21:00,402.0,2019-02-02 10:21:00,6369.0
2019-02-02 10:31:00,1.0,2019-02-02 10:31:00,406.0,2019-02-02 10:31:00,4929.4
2019-02-02 10:41:00,1.0,2019-02-02 10:41:00,397.0,2019-02-02 10:41:00,4632.5
2019-02-02 10:51:00,1.0,2019-02-02 10:51:00,399.0,2019-02-02 10:51:00,4509.9
2019-02-02 11:01:00,1.0,2019-02-02 11:01:00,398.0,2019-02-02 11:01:00,4667.07
2019-02-02 11:11:00,1.0,2019-02-02 11:11:00,397.0,2019-02-02 11:11:00,5439.99
2019-02-02 11:21:00,1.0,2019-02-02 11:21:00,395.0,2019-02-02 11:21:00,5314.8
2019-02-02 11:31:00,1.0,2019-02-02 11:31:00,405.0,2019-02-02 11:31:00,5217.9
2019-02-02 11:41:00,1.0,2019-02-02 11:41:00,400.0,2019-02-02 11:41:00,4592.0
2019-02-02 11:51:00,1.0,2019-02-02 11:51:00,392.0,2019-02-02 11:51:00,5583.24
2019-02-02 12:01:00,1.0,2019-02-02 12:01:00,394.0,2019-02-02 12:01:00,5667.07
2019-02-02 12:11:00,1.0,2019-02-02 12:11:00,390.0,2019-02-02 12:11:00,6452.68
2019-02-02 12:21:00,1.0,2019-02-02 12:21:00,398.0,2019-02-02 12:21:00,5143.14
2019-02-02 12:31:00,2.0,2019-02-02 12:31:00,398.0,2019-02-02 12:31:00,5052.8
2019-02-02 12:41:00,2.0,2019-02-02 12:41:00,395.0,2019-02-02 12:41:00,17618.6
2019-02-02 12:51:00,1.0,2019-02-02 12:51:00,386.0,2019-02-02 12:51:00,10157.5
2019-02-02 13:01:00,1.0,2019-02-02 13:01:00,396.0,2019-02-02 13:01:00,8854.2
2019-02-02 13:11:00,1.0,2019-02-02 13:11:00,395.0,2019-02-02 13:11:00,12492.4
2019-02-02 13:21:00,1.0,2019-02-02 13:21:00,391.0,2019-02-02 13:21:00,13074.78
2019-02-02 13:31:00,1.0,2019-02-02 13:31:00,386.0,2019-02-02 13:31:00,7379.1
2019-02-02 13:41:00,1.0,2019-02-02 13:41:00,385.0,2019-02-02 13:41:00,4869.9
2019-02-02 13:51:00,1.0,2019-02-02 13:51:00,387.0,2019-02-02 13:51:00,13966.3
2019-02-02 14:01:00,2.0,2019-02-02 14:01:00,397.0,2019-02-02 14:01:00,14306.8
2019-02-02 14:11:00,1.0,2019-02-02 14:11:00,395.0,2019-02-02 14:11:00,19763.6
2019-02-02 14:21:00,2.0,2019-02-02 14:21:00,391.0,2019-02-02 14:21:00,17183.2
2019-02-02 14:31:00,1.0,2019-02-02 14:31:00,394.0,2019-02-02 14:31:00,14796.91
2019-02-02 14:41:00,1.0,2019-02-02 14:41:00,395.0,2019-02-02 14:41:00,14148.25
2019-02-02 14:51:00,1.0,2019-02-02 14:51:00,392.0,2019-02-02 14:51:00,13731.2
2019-02-02 15:01:00,1.0,2019-02-02 15:01:00,390.0,2019-02-02 15:01:00,11981.33
2019-02-02 15:11:00,1.0,2019-02-02 15:11:00,401.0,2019-02-02 15:11:00,6564.2
2019-02-02 15:21:00,1.0,2019-02-02 15:21:00,392.0,2019-02-02 15:21:00,4340.7
2019-02-02 15:31:00,1.0,2019-02-02 15:31:00,389.0,2019-02-02 15:31:00,5154.4
2019-02-02 15:41:00,1.0,2019-02-02 15:41:00,386.0,2019-02-02 15:41:00,4663.08
2019-02-02 15:51:00,1.0,2019-02-02 15:51:00,389.0,2019-02-02 15:51:00,5043.26
2019-02-02 16:01:00,1.0,2019-02-02 16:01:00,392.0,2019-02-02 16:01:00,4501.9
2019-02-02 16:11:00,1.0,2019-02-02 16:11:00,389.0,2019-02-02 16:11:00,4918.7
2019-02-02 16:21:00,1.0,2019-02-02 16:21:00,388.0,2019-02-02 16:21:00,4872.7
2019-02-02 16:31:00,1.0,2019-02-02 16:31:00,394.0,2019-02-02 16:31:00,4600.7
2019-02-02 16:41:00,1.0,2019-02-02 16:41:00,391.0,2019-02-02 16:41:00,5137.5
2019-02-02 16:51:00,1.0,2019-02-02 16:51:00,394.0,2019-02-02 16:51:00,4991.11
2019-02-02 17:01:00,2.0,2019-02-02 17:01:00,385.0,2019-02-02 17:01:00,4813.46
2019-02-02 17:11:00,1.0,2019-02-02 17:11:00,385.0,2019-02-02 17:11:00,5143.9
2019-02-02 17:21:00,1.0,2019-02-02 17:21:00,386.0,2019-02-02 17:21:00,5461.14
2019-02-02 17:31:00,1.0,2019-02-02 17:31:00,388.0,2019-02-02 17:31:00,5303.7
2019-02-02 17:41:00,1.0,2019-02-02 17:41:00,387.0,2019-02-02 17:41:00,4612.5
2019-02-02 17:51:00,1.0,2019-02-02 17:51:00,391.0,2019-02-02 17:51:00,4935.0
2019-02-02 18:01:00,1.0,2019-02-02 18:01:00,400.0,2019-02-02 18:01:00,4580.69
2019-02-02 18:11:00,1.0,2019-02-02 18:11:00,391.0,2019-02-02 18:11:00,4978.7
2019-02-02 18:21:00,1.0,2019-02-02 18:21:00,397.0,2019-02-02 18:21:00,4966.49
2019-02-02 18:41:00,1.0,2019-02-02 18:41:00,391.0,2019-02-02 18:41:00,5071.3
2019-02-02 18:51:00,1.0,2019-02-02 18:51:00,397.0,2019-02-02 18:51:00,4669.7
2019-02-02 19:01:00,1.0,2019-02-02 19:01:00,406.0,2019-02-02 19:01:00,4920.1
2019-02-02 19:11:00,1.0,2019-02-02 19:11:00,398.0,2019-02-02 19:11:00,4556.98
2019-02-02 19:21:00,1.0,2019-02-02 19:21:00,401.0,2019-02-02 19:21:00,4904.03
2019-02-02 19:31:00,1.0,2019-02-02 19:31:00,403.0,2019-02-02 19:31:00,5363.2
2019-02-02 19:41:00,1.0,2019-02-02 19:41:00,398.0,2019-02-02 19:41:00,5369.2
2019-02-02 19:51:00,1.0,2019-02-02 19:51:00,403.0,2019-02-02 19:51:00,5267.7
