,AP.VIRIDIAN2_Total_Count
2019-07-02 07:06:31.187011700,3
2019-07-02 07:06:31.226013100,3
2019-07-02 07:06:31.228012000,3
2019-07-02 07:06:31.241012500,3
2019-07-02 07:07:31.123001000,3
2019-07-02 07:07:31.140014600,3
2019-07-02 07:07:31.174011200,3
2019-07-02 07:07:31.186004600,3
2019-07-02 07:07:31.225006100,3
2019-07-02 07:07:31.227005000,3
2019-07-02 07:07:31.238006500,3
2019-07-02 07:08:31.136001500,3
2019-07-02 07:08:31.153015100,3
2019-07-02 07:08:31.194000200,3
2019-07-02 07:08:31.205001800,3
2019-07-02 07:08:31.239013600,3
2019-07-02 07:08:31.241012500,3
2019-07-02 07:08:31.253005900,3
2019-07-02 07:09:31.135009700,3
2019-07-02 07:09:31.152008000,3
2019-07-02 07:09:31.186004600,3
2019-07-02 07:09:31.199005100,3
2019-07-02 07:09:31.238006500,3
2019-07-02 07:09:31.240005400,3
2019-07-02 07:09:31.253005900,3
2019-07-02 07:11:31.175003000,3
2019-07-02 07:11:31.194000200,3
2019-07-02 07:11:31.236007600,3
2019-07-02 07:11:31.247009200,3
2019-07-02 07:11:31.281005800,3
2019-07-02 07:11:31.282012900,3
2019-07-02 07:11:31.295013400,3
2019-07-02 07:12:31.175003000,3
2019-07-02 07:12:31.193008400,3
2019-07-02 07:12:31.227005000,3
2019-07-02 07:12:31.238006500,3
2019-07-02 07:12:31.276000900,3
2019-07-02 07:12:31.278015100,3
2019-07-02 07:12:31.290008500,3
2019-07-02 07:13:31.184005700,3
2019-07-02 07:13:31.201004000,3
2019-07-02 07:13:31.237014700,3
2019-07-02 07:13:31.249008100,3
2019-07-02 07:13:31.282012900,3
2019-07-02 07:13:31.283004700,3
2019-07-02 07:13:31.295013400,3
2019-07-02 07:14:31.195007300,3
2019-07-02 07:14:31.213012600,3
2019-07-02 07:14:31.249008100,3
2019-07-02 07:14:31.262008600,3
2019-07-02 07:14:31.297012300,3
2019-07-02 07:14:31.298004100,3
2019-07-02 07:14:31.314010600,3
2019-07-02 07:15:31.215011500,3
2019-07-02 07:15:31.233001700,3
2019-07-02 07:15:31.269012400,3
2019-07-02 07:15:31.281005800,3
2019-07-02 07:15:31.317001300,3
2019-07-02 07:15:31.319000200,3
2019-07-02 07:15:31.331008900,3
2019-07-02 07:16:31.231002800,3
2019-07-02 07:16:31.249008100,3
2019-07-02 07:16:31.292007400,3
2019-07-02 07:16:31.304000800,3
2019-07-02 07:16:31.338012600,3
2019-07-02 07:16:31.340011500,3
2019-07-02 07:16:31.351013100,3
2019-07-02 07:17:31.245010300,3
2019-07-02 07:17:31.264007500,3
2019-07-02 07:17:31.307006800,3
2019-07-02 07:17:31.321014400,3
2019-07-02 07:17:31.355010900,3
2019-07-02 07:17:31.356002800,3
2019-07-02 07:17:31.368011400,3
2019-07-02 07:18:31.252014100,3
2019-07-02 07:18:31.270004200,3
2019-07-02 07:18:31.306015000,3
2019-07-02 07:18:31.318008400,3
2019-07-02 07:18:31.355010900,3
2019-07-02 07:18:31.357009800,3
2019-07-02 07:18:31.369003200,3
2019-07-02 07:19:31.281005800,3
2019-07-02 07:19:31.300003000,3
2019-07-02 07:19:31.341003400,3
2019-07-02 07:19:31.353012000,3
2019-07-02 07:19:31.387008600,3
2019-07-02 07:19:31.389007500,3
2019-07-02 07:19:31.402008000,3
2019-07-02 07:21:31.273010200,4
2019-07-02 07:21:31.293014500,4
2019-07-02 07:21:31.327011100,4
2019-07-02 07:21:31.340011500,4
2019-07-02 07:21:31.380004800,4
2019-07-02 07:21:31.382003700,4
2019-07-02 07:21:31.394012400,4
2019-07-02 07:22:31.291000300,4
2019-07-02 07:22:31.310012800,4
2019-07-02 07:22:31.352005000,4
2019-07-02 07:22:31.364013600,4
2019-07-02 07:22:31.398010200,4
2019-07-02 07:22:31.400009100,4
2019-07-02 07:22:31.413009600,4
2019-07-02 07:23:31.295013400,4
2019-07-02 07:23:31.314010600,4
2019-07-02 07:23:31.347000100,4
2019-07-02 07:23:31.360000600,4
2019-07-02 07:23:31.396011300,4
2019-07-02 07:23:31.398010200,4
2019-07-02 07:23:31.410003600,4
2019-07-02 07:24:31.313003500,4
2019-07-02 07:24:31.332000700,4
2019-07-02 07:24:31.376007000,4
2019-07-02 07:24:31.390014600,4
2019-07-02 07:24:31.423004100,4
2019-07-02 07:24:31.424011200,4
2019-07-02 07:24:31.438003500,4
2019-07-02 07:25:31.339004500,4
2019-07-02 07:25:31.358001700,4
2019-07-02 07:25:31.395004200,4
2019-07-02 07:25:31.407012900,4
2019-07-02 07:25:31.448013300,4
2019-07-02 07:25:31.450012200,4
2019-07-02 07:25:31.463012600,4
2019-07-02 07:26:31.350006100,4
2019-07-02 07:26:31.368011400,4
2019-07-02 07:26:31.403015100,4
2019-07-02 07:26:31.415008500,4
2019-07-02 07:26:31.483001700,4
2019-07-02 07:26:31.485000600,4
2019-07-02 07:26:31.498001000,4
2019-07-02 07:27:31.353012000,4
2019-07-02 07:27:31.372009200,4
2019-07-02 07:27:31.408004700,4
2019-07-02 07:27:31.421005200,4
2019-07-02 07:27:31.454010000,4
2019-07-02 07:27:31.456008900,4
2019-07-02 07:27:31.468002300,4
2019-07-02 07:28:31.355010900,4
2019-07-02 07:28:31.372009200,4
2019-07-02 07:28:31.407012900,4
2019-07-02 07:28:31.419006300,4
2019-07-02 07:28:31.455001800,4
2019-07-02 07:28:31.456008900,4
2019-07-02 07:28:31.469009300,4
2019-07-02 07:29:31.368011400,4
2019-07-02 07:29:31.385009700,4
2019-07-02 07:29:31.422012300,4
