threshold,COR-MOR_logistic,COR-MOR_percentile,COR-MOR_perfect,ROC_x_percentile,ROC_y_percentile,ROC_x_logistic,ROC_y_logistic,ROC_x_perfect,ROC_y_perfect,CMC_x_percentile,CMC_y_percentile,CMC_x_logistic,CMC_y_logistic,CMC_x_perfect,CMC_y_perfect
0.129,inf,inf,0,0.360790774,1,0.409390445,1,,,0,0.360790774,0,0.409390445,,
0.13,inf,inf,0,0.360790774,1,0.408978583,1,,,0,0.360790774,0,0.408978583,,
0.131,inf,inf,0,0.360790774,1,0.40815486,1,,,0,0.360790774,0,0.40815486,,
0.132,inf,inf,0,0.360790774,1,0.40815486,1,,,0,0.360790774,0,0.40815486,,
0.133,inf,inf,0,0.360790774,1,0.407742998,1,,,0,0.360790774,0,0.407742998,,
0.134,inf,inf,0,0.360790774,1,0.407742998,1,,,0,0.360790774,0,0.407742998,,
0.135,inf,inf,0,0.360790774,1,0.407742998,1,,,0,0.360790774,0,0.407742998,,
0.136,inf,inf,0,0.360790774,1,0.406507414,1,,,0,0.360790774,0,0.406507414,,
0.137,inf,inf,0,0.360378913,1,0.406095552,1,,,0,0.360378913,0,0.406095552,,
0.138,inf,inf,0,0.360378913,1,0.405271829,1,,,0,0.360378913,0,0.405271829,,
0.139,inf,inf,0,0.359967051,1,0.405271829,1,,,0,0.359967051,0,0.405271829,,
0.14,inf,inf,0,0.359967051,1,0.404036244,1,,,0,0.359967051,0,0.404036244,,
0.141,inf,inf,0,0.359967051,1,0.403624382,1,,,0,0.359967051,0,0.403624382,,
0.142,inf,inf,0,0.359967051,1,0.403212521,1,,,0,0.359967051,0,0.403212521,,
0.143,inf,inf,0,0.359967051,1,0.402800659,1,,,0,0.359967051,0,0.402800659,,
0.144,inf,inf,0,0.359555189,1,0.402800659,1,,,0,0.359555189,0,0.402800659,,
0.145,inf,inf,0,0.359555189,1,0.402388797,1,,,0,0.359555189,0,0.402388797,,
0.146,inf,inf,0,0.359555189,1,0.402388797,1,,,0,0.359555189,0,0.402388797,,
0.147,inf,inf,0,0.359555189,1,0.401976936,1,,,0,0.359555189,0,0.401976936,,
0.148,inf,inf,0,0.359555189,1,0.401565074,1,,,0,0.359555189,0,0.401565074,,
0.149,inf,inf,0,0.359555189,1,0.400329489,1,,,0,0.359555189,0,0.400329489,,
0.15,inf,inf,0,0.359143328,1,0.400329489,1,,,0,0.359143328,0,0.400329489,,
0.151,inf,inf,0,0.359143328,1,0.399917628,1,,,0,0.359143328,0,0.399917628,,
0.152,inf,inf,0,0.359143328,1,0.399093904,1,,,0,0.359143328,0,0.399093904,,
0.153,inf,inf,0,0.359143328,1,0.399093904,1,,,0,0.359143328,0,0.399093904,,
0.154,inf,inf,0,0.359143328,1,0.398682043,1,,,0,0.359143328,0,0.398682043,,
0.155,inf,inf,0,0.359143328,1,0.398270181,1,,,0,0.359143328,0,0.398270181,,
0.156,inf,inf,0,0.359143328,1,0.397446458,1,,,0,0.359143328,0,0.397446458,,
0.157,inf,inf,0,0.358731466,1,0.397034596,1,,,0,0.358731466,0,0.397034596,,
0.158,inf,inf,0,0.358731466,1,0.397034596,1,,,0,0.358731466,0,0.397034596,,
0.159,inf,inf,0,0.358731466,1,0.396210873,1,,,0,0.358731466,0,0.396210873,,
0.16,inf,inf,0,0.358731466,1,0.394975288,1,,,0,0.358731466,0,0.394975288,,
0.161,inf,inf,0,0.358731466,1,0.394975288,1,,,0,0.358731466,0,0.394975288,,
0.162,inf,inf,0,0.358731466,1,0.394975288,1,,,0,0.358731466,0,0.394975288,,
0.163,inf,inf,0,0.358731466,1,0.394563427,1,,,0,0.358731466,0,0.394563427,,
0.164,inf,inf,0,0.358731466,1,0.394151565,1,,,0,0.358731466,0,0.394151565,,
0.165,inf,inf,0,0.358319605,1,0.394151565,1,,,0,0.358319605,0,0.394151565,,
