timestamp,WiFi-val,truth-val
2019-07-12 13:25:00,25,0
2019-07-12 13:30:00,25,0
2019-07-12 13:35:00,27,0
2019-07-12 13:40:00,27,0
2019-07-12 13:45:00,27,0
2019-07-12 13:50:00,26,0
2019-07-12 13:55:00,23,0
2019-07-15 11:00:00,17,0
2019-07-15 11:05:00,29,0
2019-07-15 11:10:00,29,0
2019-07-15 11:15:00,29,0
2019-07-15 11:20:00,29,0
2019-07-15 11:25:00,30,0
2019-07-15 11:30:00,28,0
2019-07-15 11:35:00,26,0
2019-07-15 11:40:00,26,0
2019-07-15 11:45:00,30,0
2019-07-15 11:50:00,30,0
2019-07-15 11:55:00,28,0
2019-07-15 12:00:00,28,0
2019-07-15 12:05:00,28,0
2019-07-15 12:10:00,28,0
2019-07-15 12:15:00,26,0
2019-07-15 12:20:00,26,0
2019-07-15 12:25:00,17,0
2019-07-15 12:30:00,18,0
2019-07-15 12:35:00,20,0
2019-07-15 12:40:00,20,0
2019-07-15 12:45:00,19,0
2019-07-15 12:50:00,21,0
2019-07-15 12:55:00,23,0
2019-07-15 13:00:00,23,0
2019-07-15 13:05:00,21,0
2019-07-15 13:10:00,23,0
2019-07-15 13:15:00,26,0
2019-07-15 13:20:00,26,0
2019-07-15 13:25:00,18,0
2019-07-15 13:30:00,23,0
2019-07-15 13:35:00,28,0
2019-07-15 13:40:00,28,0
2019-07-15 13:45:00,16,0
2019-07-15 13:50:00,21,0
2019-07-15 13:55:00,26,0
2019-07-02 00:00:00,3,1
2019-07-02 00:05:00,3,1
2019-07-02 00:10:00,3,1
2019-07-02 00:15:00,3,1
2019-07-02 00:20:00,3,1
2019-07-02 00:25:00,3,1
2019-07-02 00:30:00,3,1
2019-07-02 00:35:00,3,1
2019-07-02 00:40:00,3,1
2019-07-02 00:45:00,3,1
2019-07-02 00:50:00,3,1
2019-07-02 00:55:00,3,1
2019-07-02 01:00:00,3,1
2019-07-02 01:05:00,3,1
2019-07-02 01:10:00,3,1
2019-07-02 01:15:00,3,1
2019-07-02 01:20:00,3,1
2019-07-02 01:25:00,3,1
2019-07-02 01:30:00,3,1
2019-07-02 01:35:00,3,1
2019-07-02 01:40:00,3,1
2019-07-02 01:45:00,3,1
2019-07-02 01:50:00,3,1
2019-07-02 01:55:00,3,1
2019-07-02 02:00:00,3,1
2019-07-02 02:05:00,3,1
2019-07-02 02:10:00,3,1
2019-07-02 02:15:00,3,1
2019-07-02 02:20:00,3,1
2019-07-02 02:25:00,3,1
2019-07-02 02:30:00,3,1
2019-07-02 02:35:00,3,1
2019-07-02 02:40:00,3,1
2019-07-02 02:45:00,3,1
2019-07-02 02:50:00,3,1
2019-07-02 02:55:00,3,1
2019-07-02 03:00:00,3,1
2019-07-02 03:05:00,3,1
2019-07-02 03:10:00,3,1
2019-07-02 03:15:00,3,1
2019-07-02 03:20:00,3,1
2019-07-02 03:25:00,3,1
2019-07-02 03:30:00,3,1
2019-07-02 03:35:00,3,1
2019-07-02 03:40:00,3,1
2019-07-02 03:45:00,3,1
2019-07-02 03:50:00,3,1
2019-07-02 03:55:00,3,1
2019-07-02 04:00:00,3,1
2019-07-02 04:05:00,3,1
2019-07-02 04:10:00,3,1
2019-07-02 04:15:00,3,1
2019-07-02 04:20:00,3,1
2019-07-02 04:25:00,3,1
2019-07-02 04:30:00,3,1
2019-07-02 04:35:00,3,1
2019-07-02 04:40:00,3,1
