fused-proba-dt,fused-proba-HM,truth-val,Elec-val,Elec-proba,WiFi-val,WiFi-proba,CO2-val,CO2-proba
2019-07-19 21:40:00,0.5685992611995434,1,6741.7,0.42150509791214713,1.0,0.8735869520880554,97.0,0.568515386522783
2019-07-19 21:45:00,0.568348725097072,1,7268.6,0.41548360278212954,1.0,0.8735869520880554,95.0,0.5790690300996247
2019-07-19 21:50:00,0.5705228245458271,1,7198.9,0.41627873933941983,1.0,0.8735869520880554,94.0,0.5843195027177083
2019-07-19 21:55:00,0.5843003076662105,1,6701.2,0.4219689298885309,0.0,0.949567621656822,94.0,0.5843195027177083
2019-07-19 22:00:00,0.5806749816560524,1,6711.8,0.42184751855506414,0.0,0.949567621656822,96.0,0.5738006112245074
2019-07-19 22:05:00,0.5791140748318976,1,6676.4,0.4222530234183915,0.0,0.949567621656822,97.0,0.568515386522783
2019-07-19 22:10:00,0.5741772876275504,1,6684.5,0.4221602291390014,1.0,0.8735869520880554,94.0,0.5843195027177083
2019-07-19 22:15:00,0.5787496178837264,1,6736.0,0.4215703696130637,1.0,0.8735869520880554,91.0,0.5999520854122287
2019-07-19 22:20:00,0.5809272180861199,1,6655.2,0.42249591836277695,1.0,0.8735869520880554,90.0,0.6051197038775137
2019-07-19 22:25:00,0.5700867059776186,1,7259.9,0.41558282830927756,1.0,0.8735869520880554,94.0,0.5843195027177083
2019-07-19 22:30:00,0.5727862438870718,1,7113.8,0.41725014949675443,1.0,0.8735869520880554,93.0,0.5895509047297613
2019-07-19 22:35:00,0.5761516192297312,1,7095.7,0.4174568427746293,1.0,0.8735869520880554,91.0,0.5999520854122287
2019-07-19 22:40:00,0.57944913481111,1,7073.3,0.41771268013354557,1.0,0.8735869520880554,89.0,0.6102639329950559
2019-07-19 22:45:00,0.5807336126321238,1,7106.6,0.4173323665485774,1.0,0.8735869520880554,88.0,0.6153837419119067
2019-07-19 22:50:00,0.5857016863908687,1,7035.7,0.41814222092658887,1.0,0.8735869520880554,85.0,0.6305866592941138
2019-07-19 22:55:00,0.5842270269715732,1,7038.0,0.41811594225264,1.0,0.8735869520880554,86.0,0.6255460818254738
2019-07-19 23:00:00,0.5872988479038798,1,7013.9,0.4183913201093184,1.0,0.8735869520880554,84.0,0.6355989108050103
2019-07-19 23:05:00,0.5892297993359531,1,7478.6,0.41309060045171625,1.0,0.8735869520880554,80.0,0.6553466480640581
2019-07-19 23:10:00,0.5981879214282603,1,6981.9,0.41875704564976124,1.0,0.8735869520880554,76.0,0.6745721417143575
2019-07-19 23:15:00,0.5982995167526498,1,6638.4,0.42268842777831084,1.0,0.8735869520880554,78.0,0.6650278461862251
2019-07-19 23:20:00,0.5997274261244978,1,6619.9,0.4229004444816691,1.0,0.8735869520880554,77.0,0.6698174800830605
2019-07-19 23:25:00,0.6060794393842174,1,6588.5,0.4232603648398791,1.0,0.8735869520880554,72.0,0.6932272134154297
2019-07-19 23:30:00,0.6084778371504111,1,6575.7,0.42340710736050174,1.0,0.8735869520880554,70.0,0.7023276742205998
2019-07-19 23:35:00,0.608332585931588,1,6594.1,0.42319616924252157,1.0,0.8735869520880554,70.0,0.7023276742205998
2019-07-19 23:40:00,0.6020667422743646,1,6641.5,0.42265290343894335,1.0,0.8735869520880554,75.0,0.6792911180563973
2019-07-19 23:45:00,0.6023383468439525,1,7063.6,0.41782348059827185,1.0,0.8735869520880554,72.0,0.6932272134154297
2019-07-19 23:50:00,0.6071250635087407,1,6602.9,0.4230952956867896,1.0,0.8735869520880554,71.0,0.6977968638654399
2019-07-19 23:55:00,0.6104917061619524,1,6601.3,0.4231136358566236,1.0,0.8735869520880554,68.0,0.7112706096510607
2019-07-20 00:00:00,0.5854416711005965,0,9772.3,0.38724246979742005,1.0,0.8735869520880554,67.0,0.7156817213499956
2019-07-20 00:05:00,0.5831179179384188,0,9811.3,0.3868079745507804,1.0,0.8735869520880554,69.0,0.7068190963155553
2019-07-20 00:10:00,0.5871017629975674,0,9803.1,0.3868993150285443,1.0,0.8735869520880554,65.0,0.7243809059336619
2019-07-20 00:15:00,0.578317363413844,0,10011.4,0.3845815257996527,1.0,0.8735869520880554,72.0,0.6932272134154297
2019-07-20 00:20:00,0.4812574312420936,0,10521.0,0.37893334800131,1.0,0.8735869520880554,127.0,0.408166979204866
2019-07-20 00:25:00,0.5755793820079138,0,10460.7,0.37960000978313657,1.0,0.8735869520880554,71.0,0.6977968638654399
2019-07-20 00:30:00,0.5766251706462823,0,10085.4,0.3837593689934027,1.0,0.8735869520880554,73.0,0.6886192987102424
2019-07-20 00:35:00,0.5519293761720275,0,10116.3,0.38341625924365447,2.0,0.7172238867498594,71.0,0.6977968638654399
2019-07-20 00:40:00,0.5460225166402676,0,10760.0,0.37629553962179185,2.0,0.7172238867498594,72.0,0.6932272134154297
2019-07-20 00:45:00,0.5650200166752213,0,11917.2,0.3636295538537266,1.0,0.8735869520880554,69.0,0.7068190963155553
2019-07-20 00:50:00,0.5477122042626645,0,13964.8,0.3416830755061697,1.0,0.8735869520880554,68.0,0.7112706096510607
2019-07-20 00:55:00,0.5545387112362801,0,13401.7,0.34765589208847253,1.0,0.8735869520880554,66.0,0.7200519660785597
2019-07-20 01:00:00,0.5695127470574048,0,11824.7,0.3646353411654719,1.0,0.8735869520880554,65.0,0.7243809059336619
2019-07-20 01:05:00,0.5702857454213744,0,11836.7,0.3645047936821194,1.0,0.8735869520880554,64.0,0.7286681302975653
