fused-proba-dt,fused-proba-SM,truth-val,Elec-val,Elec-proba,WiFi-val,WiFi-proba,CO2-val,CO2-proba
2019-07-19 15:15:00,0.0,0,13120.1,0.0,27.0,0.0,359.0,0.0
2019-07-19 15:20:00,0.0,0,13232.6,0.0,26.0,0.0,367.0,0.0
2019-07-19 15:25:00,0.0,0,12880.7,0.0,23.0,0.0,376.0,0.0
2019-07-19 15:30:00,0.0,0,13912.2,0.0,23.0,0.0,353.0,0.0
2019-07-19 15:35:00,0.0,0,14742.0,0.0,23.0,0.0,344.0,0.0
2019-07-19 15:40:00,0.0,0,12647.6,0.0,22.0,0.0,335.0,0.0
2019-07-19 15:45:00,0.0008252019748918871,0,11629.6,0.002475605924675661,20.0,0.0,348.0,0.0
2019-07-19 15:50:00,0.0009748564718192002,0,11506.5,0.0029245694154576007,20.0,0.0,335.0,0.0
2019-07-19 15:55:00,0.0014164530616006903,0,11230.3,0.004249359184802071,23.0,0.0,290.0,0.0
2019-07-19 16:00:00,0.0018785253905176935,0,11021.3,0.0056355761715530805,22.0,0.0,269.0,0.0
2019-07-19 16:05:00,0.0027656704486409556,0,10734.4,0.008297011345922867,13.0,0.0,267.0,0.0
2019-07-19 16:10:00,0.001174527868264071,0,11368.8,0.003523583604792213,14.0,0.0,271.0,0.0
2019-07-19 16:15:00,0.0009796183346244547,0,11502.9,0.002938855003873364,21.0,0.0,316.0,0.0
2019-07-19 16:20:00,0.004083574717351324,0,10444.4,0.012250724152053971,21.0,0.0,315.0,0.0
2019-07-19 16:25:00,0.0041923025406518,0,10424.8,0.012576907621955402,21.0,0.0,267.0,0.0
2019-07-19 16:30:00,0.004681522316600906,0,10342.4,0.014044566949802717,21.0,0.0,263.0,0.0
2019-07-19 16:35:00,0.007212874752294263,0,10018.3,0.021638624256882788,21.0,0.0,259.0,0.0
2019-07-19 16:40:00,0.010594658184804318,0,9727.4,0.03178397455441295,21.0,0.0,256.0,0.0
2019-07-19 16:45:00,0.010376831890093308,0,9743.2,0.031130495670279923,23.0,0.0,249.0,0.0
2019-07-19 16:50:00,0.002669446165349587,0,10760.7,0.008008338496048761,23.0,0.0,241.0,0.0
2019-07-19 16:55:00,0.0037682615766597705,0,10504.3,0.011304784729979311,21.0,0.0,235.0,0.0
2019-07-19 17:00:00,0.005557376887853589,0,10214.1,0.01667213066356077,20.0,0.0,224.0,0.0
2019-07-19 17:05:00,0.01811059544490623,0,9315.1,0.05433178633471869,19.0,0.0,218.0,0.0
